tweet_id,text,favorite_count
1968653803491655750',"You're going to look lame, stupid, cringe, not cool. This is not something you avoid. It is a fixed cost of success. It's the first test you have to pass to get what you want. You need to want what you want more than you care about other people think about what you want or how you get it. You have to learn to trade their approval for your own.",4710
1968364378127790334',"You don't have imposter syndrome. You just haven't done enough yet. You can get rid of the feeling by doing so much work - so many repetitions - that you lose all excitement around the thing you feel like an imposter about today. And once you do, you'll realize it wasn't a syndrome, it was just a symptom of insufficient volume.",2752
1968312784627675210',"Stop looking for the perfect business model.
A mediocre model with psychotic execution beats a perfect model with mediocre execution.
Every. Single. Time.",3276
1967585286335918428',"The greatest risk to your business isn’t the economy or competition, it’s you not wanting to do it anymore.",3311
1966511263002849482',"If you have a friend who’s a coward, you don’t have a friend, you have someone who hangs around when it’s convenient and is gone when you need them.

Which is worse than an enemy. 
Because at least an enemy you can depend on.",3087
1965817665320050753',"Winners biggest mistake is making winning their only goal and achieving it. 

They set the bar too low.",2373
1965639458427941346',"The best awards you win in life are the ones you win in private, and the only person who knows you won is you.",4535
1965140631799378424',"People overestimate the productivity gains from checklists, apps, and fancy timers and underestimate the effectiveness of a dark room, ear plugs, and an endless supply of stimulants.",3034
1964888969243398461',"You want to sleep at night like you know everything is gonna work out.

And you want to wake up like there’s no chance it’ll happen unless you take relentless, unyielding, like-your-life-depends-on-it action.",5159
1964843674451194021',"You can judge the strength of a friendship by the quantity and quality of times the person will go to bat for you. Counts double when you are not around.

And to have friends like that, you have to be willing to do the same.",1550
1963601795126829308',It’s unlikely that you’ll be both wildly successful and well understood. You trade one for the other.,5247
1963331506748706825',"At some point everyone needs to decide whether you want other people to feel sorry for you or respect you.

You cannot have both pity and admiration.",5192
1962512085666922994',You can’t expect other people to want you to win when you don’t even act like you expect to win.,3893
1960189291688325586',"There will always be good reasons not to take a risk and bet on yourself. 

You just have to ignore them.",3537
1959775291485605973',"The biggest risk to your business isn’t your competition, the economy, or key talent leaving.

It’s that you don’t like it enough to keep trying.",2789
1959710379669704797',Bad news is just a good story that hasn’t finished yet. No monsters no heroes.,2424
1959602156610158600',One of the most brutally effective ways I know of becoming successful is to actually try really really hard.,8283
1959034143997653058',Think big for your life because no one else is gonna do it for you.,6644
1958871175423000927',Never expect someone who doesn’t understand your goals to understand why you work so hard to achieve them.,5370
1958642708840685981',Criticism is a fixed cost of taking action. People will criticize you if you anything note worthy. They’ll also criticize you for doing nothing. So you might as well just do what you want.,3174
1958270559634223473',You should never feel ashamed for being ambitious.,7997
1957544246917099834',"The rumors are true...
We are live AGAIN on YouTube.

and I'm personally calling as many book donors on the stream as I can until cart close today.

Link to the stream below.",1076
1956670969613050357',"The world belongs to those who can keep fighting after realizing winning won’t be fast, easy, or guaranteed.",9076
1955977958633693319',Learn to suffer well and hard times and bad news lose their teeth.,3807
1955684679547531763',"You’re not working too hard, your goals are too small.",3629
1953799041424499151',The force is strong with GPT 5,993
1953679743364239690',Great little read.,845
1953533344450490757',If you don’t say “no” to good opportunities you won’t have time to say “yes” to great ones.,2410
1953441801550938153',"I beat my personal record driving to the office this morning.

It’s feelin like a “fuck shit up” kind of day.",1409
1952774454557168089',It’s a weird moment when you see pictures of people you went to high school with and they look old.,3125
1952774016919294299',"If your heart is in the work, not the awards, you can win everyday.",3574
1952742849059152154',"The irony of dreams is that you have to wake up, get out of bed, and face your nightmares to make them come true.

No one will slay your monsters for you.",4677
1951977101248373005',"A lesson I wish I had learned earlier:

When true star talent comes, hire them even if the timing isn’t right or your not sure the role is perfectly fitted.

They’re like shooting stars. They pass you in the blink of an eye. So you gotta open your eyes or you’ll miss it.",2490
1951693310034399618',"You have to prune a tree for it to grow.
You have to weed a garden for it to flourish.
Shedding is a part of growth.
Unrestricted growth is called cancer.
And it kills you.

Focus means saying no.

To level up - I always have to remind myself “no” is how you grow.",1235
1951613596280205424',"I’ve always had an aversion to people saying “I want to build an empire” mostly because it’s…

Delusional - and - empires all have one thing in common - they end.

So I’ve always preferred utility as the goal. Be useful. Help. Maximize that. And you’ll get whatever you want. And, like everything, the people you help and the things you do will disappear. But that’s okay. While you were here, you came and served.

And I see that as a life well lived. “Empire” or not.",1743
1951298573741793282',"If you want to build an empire, you don’t start with the edge of the United States and try to defend it as one person.

It’s a weak empire and only exists in your mind.

You build one by fortifying your yard. And making it impregnable.

Then slowly. Adding new walls further out.

This is how you expand as an entrepreneur.

You start narrow small and dig your trenches deep. Then draw slightly wider circles outwards.

You telling everyone about this “platform” and “all in one” “one stop shop” only exists in your mind.

In reality you can’t even do the basics, and you just need to learn to say “someday but not today.” And focus on digging the ditch in front of you around the area you can see with your eyes. Not imagine with your mind.

Otherwise your success, like your empire, will only live there - in your imagination.",1521
1951277400882663704',"Whether people recognize your work or not, it’s always worth doing a great job.

Because you’ll know. 

And you’re the only person whose judgment matters in the end.",3646
1950773165954826699',I consistently underestimate the power of having something to look forward to.,4016
1950264951878406623',"It’s never a straight line. It only seems that way when you tell the story in reverse. Most of the times its realizing the countless stupid mistakes you made followed by pangs of anxiety…for yrs

The story:
“Yea its been great. Super happy with our progress. We got a great team”",1528
1950263853867991144',"The thing about helping younger folks in business is that they tend to advance faster because they don’t spend nearly the amount of time trying to justify why something won’t work. 

They also don’t even know what “a lot” of money is - it’s all just Monopoly money to them.",1431
1950216672045879520',"When you sell services, if you do a good job, you can mark your progress by your ability to raise your prices because:

1) you get better
2) your reputation gets better
3) you get better at selling
4) you sell to better customers

Unless your strategy is low cost.
This is the way",1965
1950200848719470620',"You just have to want it bad enough that you’re willing to start when it’s inconvenient.

And once you realize how much more inconvenient it will be than you originally planned, you just have to keep going.

That’s pretty much it.",3707
1949912231686398258',People underestimate how much brute force you have to use to will your goals into existence.,11215
1949570621513581014',AI learns faster than we learn how to use it.,2629
1949190062383755650',"If you make content you like making you’ll attract people who like what you like.

This makes life much easier.",3418
1949164042125267411',"You’re not moving as fast as you want not because you’re slow. You’re not moving as fast you want because you’re not moving at all.

You have decisions to make and you’re not making them.",3180
1949071469671244080',Access to attention is rarer to than access to capital.,2249
1948957764577100275',I just thought of how funny it would be if people’s Facebook relationship statuses were like LinkedIn work histories.,1463
1948740368734060788',"If you wanna go faster, do fewer things so you can do more of them.",4158
1948181277041115614',"When you’re an entrepreneur, no one is ever gonna tell you “good job”. It’s expected. You own the business. Get used to it.

You never did it for them anyways.",3615
1948178278248050861',You either fail through action or inaction. You do the one you’re least afraid of.,2783
1947693005902856333',It’s worth becoming someone who consistently disappoints the people who secretly hope you fail.,4268
1947677194899140869',"Caffeinate. Nicotine-ate. Take souls today.
Exciting outcomes come from boring work.
✊🏽✊🏽✊🏽",6070
1947655899365204021',"I’m older than Google, Amazon, Facebook, YouTube, Nvidia, iPhones, and Bitcoin.

So yea, I’ve got that going for me.",1849
1947305243357982967',"Everything that was once hard, with enough repetition, becomes boring.

And you become a master by repeating it enough times when it’s boring that you find out something new that makes it hard again.",3987
1946956431787520304',"You would have more of what you want if you worked harder on it.

But working harder doesn’t always mean “spend more time on it”

Sometimes it means doing things that feel seemingly impossible - but take less time than doing what you’ve always been doing.",2084
1946942146076152213',You’re going to have to learn how to try significantly harder and longer than you expected but the payoff will bigger and different than you imagined because you realize that the money never mattered and who you become to get it was the point all along.,5079
1946395087027470822',"✊🏽✊🏽✊🏽

More things coming…",345
1946347330850209849',"The best dating tip for younger guys is:

Get better.

That’s it. You can toss everything else out the window. Instead of learning ways to deceive and posture, just be the real thing. And you’ll get whoever you want.",4657
1946211248250720570',"When you’re 85 years old, you’re gonna care far more about your memories than your money.",4270
1945951642089631784',"One of my early mentors who recently passed away taught me a marketing lesson Ill never forget:

If you want something to be a big deal. 
Make it a big deal.

Simple, but profound.

Not all things are worth making a big deal out of.
And nothing is inherently a big deal to begin w",2165
1945565638271119828',You will die before you accomplish all of your goals.,3762
1945306494414487971',"Business owners: at 10:30AM PST tomorrow (Wed 7/16) I will call 5 of you to help with scaling your business.

It will be streamed on YouTube.

Submit your info below to be selected 👇",603
1945139451509809379',"Dear younger me:

Don’t accept favors from people you aren’t comfortable owing favors to.

Blank checks always cost you more than you get for giving them.",3308
1945114225019371549',"Ironically, the most common businesses getting put out of business with AI are other AI businesses.",2110
1945102419861307738',"Most things worth waiting for, are also worth working for, which you don’t need to wait to start working for.",2007
1944943971194589339',"Imagine a marketer saying:
“There are no good customers out there.”

It’s kinda like an entrepreneur saying:
“There are no good employees out there.”

Getting talent takes 3 things:

1) Write a good ad (most suck)
2) Qualify the applicants (most don’t)
3) Pay well (most can’t)",1316
1944809619391406134',"If you’re not sure whether to play it safe or not today, just remember you’re going to die.

And playing it safe doesn’t change the ending.",5736
1944441151429443901',"Rule of life:

Never make asks of someone bigger than you. Give until they offer.",4444
1944171597000323150',The people who change your life the most are rarely the people you change your life the most for.,2061
1944159454964199445',We should be more afraid of leaving freedom on the table than money on the table.,2989
1943509784285909133',"You will stop doubting yourself when you stop doubting the outcome.

You will stop doubting the outcome once youve done it so many times you can’t stand it anymore.

Once youve done it so many times you cant stand it anymore, you’ll be good.

Then itll make sense u have no doubt.",3487
1943159923124117739',"If you want a frightening demonstration of pricing value: think about how much you’d pay monthly to keep AI in your life.

Yea, that’s value.",1740
1943128109760262254',"The goal of everyday is to leave nothing in the tank. 
No love in the tank.
No energy in the tank.
No work in the tank. 
To go to sleep empty, with every ounce of potential squeezed out.

Then wake up and do it again tomorrow.",6062
1943060970886303962',To anyone cooking today. Got so much planned for the $100M Money Models book launch. Been working for two years for this day. It’s gonna be nuts. You’re gonna love it.,2108
1942802295751692701',"Winning the battle is telling someone why they’re wrong.

Winning the war is letting your results do it for you.",2595
1942795845377876041',"Imagine you really loved someone a lot.
Now imagine someone you loved less.

Now imagine everyone telling you there’s something wrong with you for hanging out w the first person more than the second.

This is the work life balance argument.",1581
1942238484313366922',Sometimes the best reason to do something is just to be able to say you did it.,3421
1941870271310536907',It’s an odd feeling when you realize you’re as old as the men you looked up to as a younger man.,3421
1941348341855682562',"You’ll look like a genius if you just sit down and ask yourself “what happens next” 2-3 times in a row…then prepare for it.

Meanwhile, idiots never ask themselves “what happened last time” and always act surprised.",3747
1941345225047499247',Sometimes you just gotta do shit to say you did it.,3173
1941293294773993530',"If you want to be successful, you only need to do one thing: be proud of your work…

Genuinely. Alone. At night. On your own. When no one is watching. Know. In your bones. That you gave it your all. 

When you do that, nothing can stop you.",10689
1941175540452557010',It’s okay to offend people who were never going to buy from you anyways.,3806
1941122509782597996',"America was built on the backs of men who smoked cigarettes, drove without seatbelts, and had bacon for breakfast.

If you miss your biohacking routing this morning - you’re gonna be okay.",6056
1941111761773703387',"Hard times don’t last forever.

There are only three outcomes:
– You quit
– It gets easier
– Or you get better

But no matter what, they end.",7116
1941105017764876416',"If your values change based on your circumstances, they’re not values they’re preferences.",2030
1940970376282231099',You can achieve scary goals when you do nothing else for two years to achieve one outcome.,6216
1940961586426138873',"Do not get in the way of a man with a plan, the means and reason to accomplish them, and a deadline.

You will lose.",2997
1940166713011839338',"People don’t love perfect people, they love honest people.",6196
1939792752025509980',"4 ways to get paid:

1) you pay, then I work
2) you pay as we go
3) I work, then you pay
4) When X happens, you pay me

Go for 1 & 4. Avoid 2 & 3.",4304
1939724404658720791',It almost always takes less time to finish the work than you spent avoiding the work to begin with.,5001
1939681612977111363',The fastest way to ruin your life is to try to live somebody else’s.,3013
1939365998093869260',"I’d rather be with just me, than spend time with someone who makes me less like me, in order to be with them.",4400
1939334335905054939',"You should work hard in your 20s beyond the obvious reasons of having the time, the energy, and few responsibilities. 

You should work hard because it’s easier to get ahead than it is to catch up. 

And it compounds like money. A little more now gives way more later.",5754
1939049152194978283',"Underrated business hack:

Cut three B players to hire one A player and pay the A player what you’d pay two B players.

Save more. Make more.",3742
1938994597532692705',"""Sometimes not giving up is the most heroic thing you can do."" - Aquaman",2135
1938990457276768705',"When in doubt, make it more expensive.",2790
1938949296621019293',"If you're not gonna get anymore information, then you dont need anymore time. Just decide.",2318
1938902742170214510',The most expensive part of achieving your dreams is it comes with no guarantees.,3197
1938780683465306299',"Everyone's tired. No one's playing at 100%. Everyone has injuries and bruises and tradeoffs they would've played differently if they had known better.

Everyone has all that in common. The only thing that separates winners from losers is choosing to win anyways.",3497
1938746716913652042',"Uncomfortable truth:

If your employees are mediocre, you probably are too.",2905
1938698899687944203',"No rule has been truer in my life:

You show people how much you care by how much you prepare.",5326
1938635998188962142',The best way to make money is solve problems for people who have money.,12494
1938612007546368508',"You must first become consistent before you can become exceptional. 

The number one thing that prevents consistency is big decisions left unmade. 

The most important of which include what not to do.

And the main reason for that is not being sure which input yields the highest return. 

And that’s hard to do when it’s the first time at whatever revenue level you’re at.",2199
1938589435240513723',"In the real world, there's no scoreboard, no referee, and no one tells you you've won. You just keep your head down grinding until one day you look around and see you're the only one left.",2934
1938542868651474984',"You think you’re not good enough when in reality, you just haven’t done it long enough.

Sometimes you just gotta give time, time.",4178
1938406974774775939',The fastest way to get what you want is give up everything that doesn’t matter.,8109
1938328964302319686',"A big influencer made an off handed content about our shorts. He said ""you guys are masters."" It shocked me because all we do is:
1) Post a lot of sh*t without worrying about duds
2) Do more until it stops working.
3) Then try more stuff til we find something else. 
That's it.",1416
1938269829904933330',"The single greatest change in my life came from doing one thing:

Ignoring people’s advice who didn't have what I wanted.

This includes parents, friends, acquaintances, and random posts I see on my newsfeed.

The world got quieter, and that made decisions a lot easier.",6205
1938225783761232106',"Every 23 year old wants to start a personal brand.

What everyone forgets is the ‘personal’ part - not making videos or posting, but having real skills, accomplishments or opinions worth watching in first place.

If you want an epic personal brand, do epic shit first.",4332
1938176706969321851',"The bar for doing things is set so low.

I sh*t you not, if you just do what you say you’re gonna do, and keep showing up no matter what - you’ll beat 99% of people.",5055
1938052132973752706',"3 things that change your life:

1) Your calendar - where you spend your time
2) Your bank account - where you spend your money
3) Your social circle - who you let spend their time & money with you

If these are the same as last year, your life probably will be too.",3092
1938043612572585988',"The difference between luck and success is the number of failed attempts before you win. 

That’s all.",3937
1937991758492713128',"If you want to grow, solve for an empty calendar. 

Long uninterrupted periods are the only way to get really good at anything or do anything long enough to build something great.

Otherwise, you just waste time until the next time have enough time not to waste.",1886
